,,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
Tu,11/30/2021,57.687,52.127,50.341,50.953
Mo,11/29/2021,55.083,51.896,50.243,50.917
,,,,,
Fr,11/26/2021,57.454,51.717,50.168,50.893
We,11/24/2021,53.02,51.507,50.062,50.857
Tu,11/23/2021,53.01,51.38,50.008,50.846
Mo,11/22/2021,52.671,51.266,49.955,50.832
,,,,,
Fr,11/19/2021,51.76,51.152,49.907,50.822
Th,11/18/2021,51.085,51.051,49.867,50.82
We,11/17/2021,50.972,50.974,49.829,50.828
Tu,11/16/2021,50.638,50.892,49.799,50.837
Mo,11/15/2021,50.764,50.807,49.78,50.859
,,,,,
Fr,11/12/2021,50.776,50.713,49.763,50.885
We,11/10/2021,51.374,50.619,49.75,50.908
Tu,11/9/2021,50.146,50.516,49.746,50.93
Mo,11/8/2021,49.467,50.444,49.741,50.943
,,,,,
Fr,11/5/2021,49.411,50.424,49.739,50.954
Th,11/4/2021,50.353,50.392,49.732,50.962
We,11/3/2021,50.878,50.355,49.715,50.964
Tu,11/2/2021,51.976,50.308,49.689,50.964
Mo,11/1/2021,52.563,50.262,49.658,50.957
,,,,,
Fr,10/29/2021,52.283,50.22,49.635,50.954
Th,10/28/2021,51.221,50.185,49.616,50.943
We,10/27/2021,51.588,50.155,49.608,50.936
Tu,10/26/2021,50.975,50.1,49.594,50.936
Mo,10/25/2021,51.36,50.048,49.593,50.937
,,,,,
Fr,10/22/2021,52.085,50.002,49.581,50.928
Th,10/21/2021,51.651,49.958,49.56,50.918
We,10/20/2021,51.24,49.932,49.55,50.918
Tu,10/19/2021,51.491,49.896,49.547,50.92
Mo,10/18/2021,52.145,49.846,49.549,50.925
,,,,,
Fr,10/15/2021,52.159,49.796,49.547,50.914
Th,10/14/2021,52.14,49.762,49.539,50.909
We,10/13/2021,54.124,49.714,49.542,50.909
Tu,10/12/2021,55.05,49.629,49.524,50.899
,,,,,
Fr,10/8/2021,53.893,49.523,49.503,50.894
Th,10/7/2021,53.293,49.426,49.489,50.895
We,10/6/2021,53.742,49.341,49.471,50.908
Tu,10/5/2021,53.744,49.258,49.441,50.915
Mo,10/4/2021,53.315,49.156,49.426,50.913
,,,,,
Fr,10/1/2021,52.366,49.058,49.431,50.909
Th,9/30/2021,53.249,48.994,49.43,50.912
We,9/29/2021,52.181,48.907,49.416,50.909
Tu,9/28/2021,52.085,48.877,49.398,50.919
Mo,9/27/2021,50.946,48.881,49.39,50.927
,,,,,
Fr,9/24/2021,50.966,48.864,49.391,50.938
Th,9/23/2021,50.856,48.831,49.389,50.944
We,9/22/2021,51.429,48.786,49.384,50.944
Tu,9/21/2021,53.156,48.729,49.374,50.941
Mo,9/20/2021,53.749,48.625,49.342,50.925
,,,,,
Fr,9/17/2021,46.761,48.51,49.313,50.906
Th,9/16/2021,46.134,48.555,49.361,50.923
We,9/15/2021,46.179,48.591,49.411,50.942
Tu,9/14/2021,46.918,48.618,49.461,50.961
Mo,9/13/2021,46.708,48.618,49.512,50.983
,,,,,
Fr,9/10/2021,47.299,48.636,49.56,51.01
Th,9/9/2021,46.934,48.644,49.608,51.032
We,9/8/2021,46.716,48.662,49.646,51.069
Tu,9/7/2021,47.25,48.684,49.682,51.117
,,,,,
Fr,9/3/2021,46.861,48.684,49.709,51.15
Th,9/2/2021,46.383,48.706,49.752,51.188
We,9/1/2021,46.083,48.754,49.8,51.22
Tu,8/31/2021,46.1,48.813,49.849,51.25
Mo,8/30/2021,46.181,48.881,49.897,51.292
,,,,,
Fr,8/27/2021,46.56,48.976,49.945,51.335
Th,8/26/2021,48.478,49.038,49.998,51.368
We,8/25/2021,47.821,49.055,50.029,51.386
Tu,8/24/2021,48.486,49.072,50.064,51.414
Mo,8/23/2021,48.549,49.074,50.086,51.439
,,,,,
Fr,8/20/2021,49.653,49.069,50.113,51.483
Th,8/19/2021,50.467,49.054,50.156,51.535
We,8/18/2021,50.543,49.049,50.217,51.598
Tu,8/17/2021,49.711,49.048,50.273,51.672
Mo,8/16/2021,48.822,49.062,50.339,51.75
,,,,,
Fr,8/13/2021,48.4,49.089,50.427,51.825
Th,8/12/2021,49.04,49.139,50.524,51.882
We,8/11/2021,49.898,49.159,50.613,51.931
Tu,8/10/2021,50.339,49.163,50.689,51.964
Mo,8/9/2021,49.435,49.168,50.707,51.999
,,,,,
Fr,8/6/2021,49.021,49.198,50.737,52.037
Th,8/5/2021,49.625,49.251,50.756,52.081
We,8/4/2021,50.439,49.298,50.779,52.125
Tu,8/3/2021,49.777,49.317,50.791,52.156
Mo,8/2/2021,49.845,49.37,50.82,52.19
,,,,,
Fr,7/30/2021,49.79,49.419,50.847,52.222
Th,7/29/2021,48.995,49.482,50.879,52.247
We,7/28/2021,49.05,49.553,50.94,52.268
Tu,7/27/2021,49.616,49.602,51.011,52.297
Mo,7/26/2021,48.656,49.623,51.051,52.328
,,,,,
Fr,7/23/2021,48.416,49.696,51.13,52.377
Th,7/22/2021,49.133,49.804,51.192,52.418
We,7/21/2021,48.886,49.866,51.234,52.472
Tu,7/20/2021,50.724,49.926,51.272,52.52
Mo,7/19/2021,52.285,49.919,51.324,52.563
,,,,,
Fr,7/16/2021,50.055,49.899,51.363,52.603
Th,7/15/2021,49.35,49.919,51.38,52.641
We,7/14/2021,48.603,49.948,51.414,52.69
Tu,7/13/2021,48.585,49.981,51.466,52.738
Mo,7/12/2021,47.923,50.018,51.497,52.783
,,,,,
Fr,7/9/2021,48.004,50.06,51.527,52.806
Th,7/8/2021,49.014,50.116,51.55,52.828
We,7/7/2021,47.938,50.167,51.566,52.94
Tu,7/6/2021,47.562,50.231,51.59,53.049
,,,,,
Fr,7/2/2021,46.888,50.303,51.617,53.15
Th,7/1/2021,47.614,50.406,51.651,53.254
We,6/30/2021,47.681,50.484,51.683,53.359
Tu,6/29/2021,47.836,50.572,51.708,53.47
Mo,6/28/2021,47.842,50.63,51.738,53.575
,,,,,
Fr,6/25/2021,47.215,50.679,51.773,53.666
Th,6/24/2021,47.99,50.735,51.827,53.775
We,6/23/2021,48.756,50.798,51.875,53.869
Tu,6/22/2021,49.055,50.847,51.937,53.954
Mo,6/21/2021,49.51,50.886,52.007,54.019
,,,,,
Fr,6/18/2021,50.932,50.913,52.066,54.082
Th,6/17/2021,49.646,50.914,52.114,54.152
We,6/16/2021,49.323,50.957,52.144,54.237
Tu,6/15/2021,48.662,51.003,52.169,54.328
Mo,6/14/2021,48.62,51.056,52.193,54.418
,,,,,
Fr,6/11/2021,48.287,51.098,52.214,54.505
Th,6/10/2021,48.912,51.157,52.239,54.594
We,6/9/2021,50.225,51.258,52.255,54.687
Tu,6/8/2021,50.447,51.384,52.273,54.774
Mo,6/7/2021,50.421,51.498,52.269,54.86
,,,,,
Fr,6/4/2021,50.174,51.616,52.263,54.938
Th,6/3/2021,50.899,51.766,52.277,55.02
We,6/2/2021,50.078,51.909,52.28,55.104
Tu,6/1/2021,50.06,52.067,52.275,55.189
,,,,,
Fr,5/28/2021,50.621,52.216,52.276,55.265
Th,5/27/2021,50.939,52.245,52.286,55.345
We,5/26/2021,51.65,52.276,52.294,55.42
Tu,5/25/2021,51.993,52.261,52.302,55.486
Mo,5/24/2021,51.371,52.26,52.281,55.549
,,,,,
Fr,5/21/2021,52.44,52.265,52.279,55.617
Th,5/20/2021,52.265,52.27,52.276,55.686
We,5/19/2021,52.941,52.276,52.275,55.764
Tu,5/18/2021,52.536,52.276,52.285,55.845
Mo,5/17/2021,51.532,52.328,52.302,55.933
,,,,,
Fr,5/14/2021,50.67,52.42,52.344,56.023
Th,5/13/2021,52.303,52.48,52.39,56.129
We,5/12/2021,53.792,52.563,52.399,56.218
Tu,5/11/2021,52.27,52.58,52.386,56.302
Mo,5/10/2021,51.861,52.601,52.393,56.388
,,,,,
Fr,5/7/2021,50.362,52.618,52.401,56.474
Th,5/6/2021,51.279,52.729,52.439,56.573
We,5/5/2021,51.072,52.828,52.465,56.667
Tu,5/4/2021,50.789,52.84,52.484,56.769
Mo,5/3/2021,50.263,52.881,52.498,56.879
,,,,,
Fr,4/30/2021,50.432,52.952,52.505,56.987
Th,4/29/2021,50.039,52.975,52.509,57.106
We,4/28/2021,50.806,52.995,52.508,57.23
Tu,4/27/2021,51.534,52.984,52.499,57.344
Mo,4/26/2021,51.143,52.965,52.485,57.462
,,,,,
Fr,4/23/2021,51.163,52.95,52.473,57.568
Th,4/22/2021,52.047,52.932,52.462,57.684
We,4/21/2021,51.505,52.897,52.454,57.781
Tu,4/20/2021,52.091,52.882,52.461,57.895
Mo,4/19/2021,50.72,52.845,52.456,58.009
,,,,,
Fr,4/16/2021,50.32,52.846,52.492,58.135
Th,4/15/2021,49.995,52.867,52.552,58.278
We,4/14/2021,51.146,52.919,52.59,58.432
Tu,4/13/2021,51.224,52.952,52.624,58.568
Mo,4/12/2021,50.98,53.027,52.639,58.704
,,,,,
Fr,4/9/2021,50.879,53.128,52.65,58.824
Th,4/8/2021,50.985,53.22,52.686,58.95
We,4/7/2021,51.798,53.314,52.726,59.088
Tu,4/6/2021,51.619,53.332,52.737,59.202
Mo,4/5/2021,51.289,53.334,52.743,59.301
,,,,,
Fr,4/2/2021,50.713,53.33,52.764,59.39
Th,4/1/2021,51.236,53.331,52.792,59.486
We,3/31/2021,53.985,53.321,52.854,59.625
Tu,3/30/2021,56.508,53.252,52.913,59.763
Mo,3/29/2021,56.168,53.162,52.979,59.853
,,,,,
Fr,3/26/2021,56.334,53.04,53.072,59.934
Th,3/25/2021,57.644,52.91,53.16,59.985
We,3/24/2021,58.086,52.788,53.222,60.022
Tu,3/23/2021,57.967,52.65,53.241,60.094
Mo,3/22/2021,57.475,52.483,53.249,60.169
,,,,,
Fr,3/19/2021,52.106,52.336,53.24,60.26
Th,3/18/2021,52.47,52.326,53.291,60.394
We,3/17/2021,50.892,52.312,53.337,60.518
Tu,3/16/2021,51.975,52.343,53.406,60.654
Mo,3/15/2021,51.607,52.302,53.471,60.789
,,,,,
Fr,3/12/2021,52.689,52.292,53.521,60.946
Th,3/11/2021,52.569,52.282,53.56,61.119
We,3/10/2021,52.933,52.273,53.596,61.286
Tu,3/9/2021,55.12,52.293,53.615,61.441
Mo,3/8/2021,56.155,52.276,53.596,61.615
,,,,,
Fr,3/5/2021,53.645,52.268,53.583,61.786
Th,3/4/2021,56.494,52.299,53.605,61.997
We,3/3/2021,54.595,52.235,53.624,62.191
Tu,3/2/2021,53.369,52.193,53.644,62.402
Mo,3/1/2021,52.711,52.185,53.709,62.602
,,,,,
Fr,2/26/2021,55.873,52.183,53.769,62.801
Th,2/25/2021,56.225,52.15,53.802,62.977
We,2/24/2021,51.708,52.102,53.843,63.156
Tu,2/23/2021,52.821,52.127,53.903,63.364
Mo,2/22/2021,53.8,52.115,53.966,63.55
,,,,,
Fr,2/19/2021,51.621,52.059,54.011,63.736
Th,2/18/2021,50.998,52.043,54.07,63.93
We,2/17/2021,50.279,52.022,54.085,64.109
Tu,2/16/2021,50.565,52.013,54.106,64.292
,,,,,
Fr,2/12/2021,50.42,52.005,54.314,64.499
Th,2/11/2021,50.256,51.995,54.507,64.712
We,2/10/2021,50.287,51.992,54.682,64.932
Tu,2/9/2021,50.78,52.01,54.857,65.149
Mo,2/8/2021,50.205,52.039,55.036,65.367
,,,,,
Fr,2/5/2021,50.804,52.068,55.232,65.607
Th,2/4/2021,51.342,52.137,55.412,65.82
We,2/3/2021,52.619,52.237,55.559,65.998
Tu,2/2/2021,52.77,52.262,55.724,66.175
Mo,2/1/2021,54.986,52.297,55.863,66.348
,,,,,
Fr,1/29/2021,56.051,52.251,55.971,66.486
Th,1/28/2021,55.436,52.171,56.031,66.621
We,1/27/2021,55.695,52.152,56.097,66.753
Tu,1/26/2021,52.686,52.138,56.191,66.999
Mo,1/25/2021,51.75,52.143,56.329,67.298
,,,,,
Fr,1/22/2021,51.078,52.153,56.488,67.625
Th,1/21/2021,50.751,52.198,56.643,68.007
We,1/20/2021,50.758,52.253,56.795,68.37
Tu,1/19/2021,50.539,52.387,56.95,68.747
,,,,,
Fr,1/15/2021,51.981,52.574,57.12,69.059
Th,1/14/2021,50.073,52.796,57.275,69.339
We,1/13/2021,49.836,53.104,57.45,69.648
Tu,1/12/2021,51.549,53.411,57.613,69.882
Mo,1/11/2021,51.17,53.657,57.763,70.14
,,,,,
Fr,1/8/2021,49.653,53.832,57.929,70.424
Th,1/7/2021,50.118,54.014,58.103,70.783
We,1/6/2021,51.612,54.143,58.254,71.292
Tu,1/5/2021,51.737,54.255,58.405,71.743
Mo,1/4/2021,52.465,54.362,58.545,72.189
,,,,,
Th,12/31/2020,49.896,54.47,58.67,72.543
We,12/30/2020,51.138,54.641,58.816,72.915
Tu,12/29/2020,52.184,54.75,58.955,73.196
Mo,12/28/2020,52.126,54.838,59.096,73.63
,,,,,
Th,12/24/2020,53.935,54.918,59.253,73.956
We,12/23/2020,54.248,54.937,59.406,74.22
Tu,12/22/2020,55.78,54.916,59.563,74.504
Mo,12/21/2020,55.2,54.897,59.702,74.641
,,,,,
Fr,12/18/2020,53.278,54.91,59.868,74.731
Th,12/17/2020,52.515,55.012,60.038,74.794
We,12/16/2020,52.944,55.094,60.217,74.888
Tu,12/15/2020,52.619,55.234,60.382,74.946
Mo,12/14/2020,54.193,55.354,60.547,75.015
,,,,,
Fr,12/11/2020,53.846,55.454,60.707,75.067
Th,12/10/2020,52.974,55.584,60.869,75.087
We,12/9/2020,52.202,55.678,61.054,75.099
Tu,12/8/2020,50.99,55.816,61.259,75.103
Mo,12/7/2020,50.855,55.963,61.47,75.081
,,,,,
Fr,12/4/2020,49.936,56.096,61.703,75.053
Th,12/3/2020,49.823,56.147,61.951,75.026
We,12/2/2020,50.141,56.198,62.19,75.001
Tu,12/1/2020,49.959,56.623,62.438,74.971
Mo,11/30/2020,50.106,57.018,62.663,74.94
,,,,,
Fr,11/27/2020,51.175,57.372,62.906,74.909
We,11/25/2020,52.205,57.703,63.109,74.877
Tu,11/24/2020,51.669,58.033,63.329,74.842
Mo,11/23/2020,54.283,58.396,63.561,74.815
,,,,,
Fr,11/20/2020,56.344,58.686,63.777,74.77
Th,11/19/2020,53.829,58.88,64.003,74.712
We,11/18/2020,54.513,59.185,64.274,74.679
Tu,11/17/2020,52.7,59.429,64.511,74.656
Mo,11/16/2020,52.078,59.692,64.769,74.644
,,,,,
Fr,11/13/2020,54.476,59.891,64.998,74.621
Th,11/12/2020,54.964,60.042,65.214,74.589
Tu,11/10/2020,52.976,60.244,65.45,74.547
Mo,11/9/2020,52.222,60.515,65.666,74.529
,,,,,
Fr,11/6/2020,53.359,60.822,65.858,74.503
Th,11/5/2020,53.463,61.087,66.016,74.466
We,11/4/2020,57.464,61.337,66.181,74.424
Tu,11/3/2020,59.913,61.513,66.396,74.366
Mo,11/2/2020,63.091,61.665,66.613,74.286
,,,,,
Fr,10/30/2020,65.463,61.754,66.727,74.191
Th,10/29/2020,65.158,61.797,66.796,74.087
We,10/28/2020,63.845,61.815,66.811,73.985
Tu,10/27/2020,59.918,61.87,66.822,73.887
Mo,10/26/2020,58.775,62.027,66.947,73.808
,,,,,
Fr,10/23/2020,56.566,62.193,67.09,73.733
Th,10/22/2020,57.202,62.366,67.281,73.676
We,10/21/2020,57.115,62.554,67.497,73.623
Tu,10/20/2020,57.84,62.728,67.7,73.568
Mo,10/19/2020,58.469,62.869,67.901,73.508
,,,,,
Fr,10/16/2020,56.591,62.992,68.106,73.436
Th,10/15/2020,56.568,63.16,68.371,73.38
We,10/14/2020,56.145,63.354,68.677,73.322
Tu,10/13/2020,54.874,63.587,68.975,73.261
,,,,,
Fr,10/9/2020,53.205,63.875,69.266,73.206
Th,10/8/2020,54.835,64.21,69.634,73.163
We,10/7/2020,55.853,64.507,69.99,73.114
Tu,10/6/2020,58.362,64.825,70.39,73.061
Mo,10/5/2020,56.63,65.063,70.759,72.997
,,,,,
Fr,10/2/2020,59.901,65.339,71.16,72.943
Th,10/1/2020,58.643,65.53,71.494,72.873
We,9/30/2020,59.214,65.741,71.834,72.81
Tu,9/29/2020,60.319,65.959,72.151,72.753
Mo,9/28/2020,57.674,66.154,72.47,72.691
,,,,,
Fr,9/25/2020,59.118,66.43,72.825,72.648
Th,9/24/2020,58.308,66.702,73.135,72.602
We,9/23/2020,57.519,66.977,73.461,72.561
Tu,9/22/2020,52.5,67.31,73.789,72.52
Mo,9/21/2020,52.383,67.755,74.134,72.51
,,,,,
Fr,9/18/2020,71.371,68.181,74.479,72.5
Th,9/17/2020,69.725,68.254,74.683,72.404
We,9/16/2020,67.785,68.308,74.918,72.313
Tu,9/15/2020,67.735,68.441,75.181,72.224
Mo,9/14/2020,68.702,68.516,75.441,72.133
,,,,,
Fr,9/11/2020,69.82,68.624,75.699,72.036
Th,9/10/2020,68.788,68.727,75.981,71.937
We,9/9/2020,66.039,68.868,76.228,71.85
Tu,9/8/2020,69.1,69.127,76.437,71.784
,,,,,
Fr,9/4/2020,66.702,69.362,76.626,71.703
Th,9/3/2020,65.841,69.593,76.833,71.63
We,9/2/2020,62.001,69.846,77,71.557
Tu,9/1/2020,62.033,70.105,77.212,71.503
Mo,8/31/2020,65.061,70.387,77.41,71.455
,,,,,
Fr,8/28/2020,66.523,70.657,77.808,71.391
Th,8/27/2020,67.62,70.818,78.268,71.317
We,8/26/2020,66.576,70.894,78.761,71.235
Tu,8/25/2020,65.981,70.946,79.371,
Mo,8/24/2020,66.246,71.024,79.944,
,,,,,
Fr,8/21/2020,67.538,71.278,80.543,
Th,8/20/2020,67.518,71.56,80.999,
We,8/19/2020,67.594,71.7,81.402,
Tu,8/18/2020,66.101,71.795,81.845,
Mo,8/17/2020,66.561,71.806,82.151,
,,,,,
Fr,8/14/2020,67.8,71.774,82.517,
Th,8/13/2020,67.044,71.867,82.918,
We,8/12/2020,65.218,71.987,83.464,
Tu,8/11/2020,66.635,72.195,84.329,
Mo,8/10/2020,65.809,72.44,85.081,
,,,,,
Fr,8/7/2020,64.896,72.671,85.833,
Th,8/6/2020,64.576,72.932,86.416,
We,8/5/2020,64.998,73.22,87.013,
Tu,8/4/2020,66.29,73.582,87.438,
Mo,8/3/2020,67.8,74.001,88.164,
,,,,,
Fr,7/31/2020,69.283,74.364,88.66,
Th,7/30/2020,69.949,74.657,89.035,
We,7/29/2020,69.649,75.058,89.444,
Tu,7/28/2020,71.763,75.473,89.58,
Mo,7/27/2020,70.286,75.954,89.594,
,,,,,
Fr,7/24/2020,70.4,76.455,89.55,
Th,7/23/2020,69.485,76.981,89.559,
We,7/22/2020,69.169,77.458,89.51,
Tu,7/21/2020,70.125,77.926,89.483,
Mo,7/20/2020,70.063,78.344,89.428,
,,,,,
Fr,7/17/2020,71.459,78.786,89.304,
Th,7/16/2020,72.731,79.221,89.144,
We,7/15/2020,72.05,79.568,88.947,
Tu,7/14/2020,74.16,79.945,88.692,
Mo,7/13/2020,74.789,80.269,88.404,
,,,,,
Fr,7/10/2020,73.688,80.513,88.101,
Th,7/9/2020,74.989,80.777,87.811,
We,7/8/2020,72.448,81.113,87.504,
Tu,7/7/2020,74.4,81.527,87.217,
Mo,7/6/2020,71.498,81.922,86.911,
,,,,,
Th,7/2/2020,74.131,82.366,86.644,
We,7/1/2020,74.928,82.773,86.356,
Tu,6/30/2020,75.879,83.236,86.068,
Mo,6/29/2020,78.949,83.588,85.762,
,,,,,
Fr,6/26/2020,80.886,83.748,85.421,
Th,6/25/2020,78.226,83.889,85.083,
We,6/24/2020,78.508,84.073,84.802,
Tu,6/23/2020,74.946,84.155,84.518,
Mo,6/22/2020,76.13,84.319,84.244,
,,,,,
Fr,6/19/2020,78.551,84.433,83.963,
Th,6/18/2020,74.561,84.96,83.644,
We,6/17/2020,71.435,85.718,83.391,
Tu,6/16/2020,69.184,86.629,83.147,
Mo,6/15/2020,69.889,87.796,82.916,
,,,,,
Fr,6/12/2020,78.957,88.865,82.667,
Th,6/11/2020,81.615,89.808,82.335,
We,6/10/2020,74.522,90.437,81.96,
Tu,6/9/2020,72.357,91.104,81.655,
Mo,6/8/2020,66.636,91.895,81.379,
,,,,,
Fr,6/5/2020,64.961,92.495,81.16,
Th,6/4/2020,72.445,93.259,80.951,
We,6/3/2020,73.04,93.97,80.669,
Tu,6/2/2020,75.641,94.94,80.377,
Mo,6/1/2020,78.851,96.464,80.071,
,,,,,
Fr,5/29/2020,77.4,97.723,79.75,
Th,5/28/2020,77.946,98.995,79.436,
We,5/27/2020,78.942,99.9,79.115,
Tu,5/26/2020,83.124,100.806,78.767,
,,,,,
Fr,5/22/2020,87.206,101.293,78.389,
Th,5/21/2020,85.957,102.327,77.966,
We,5/20/2020,83.95,102.956,77.546,
Tu,5/19/2020,90,103.412,77.146,
Mo,5/18/2020,90.416,103.831,76.692,
,,,,,
Fr,5/15/2020,95.806,103.686,76.239,
Th,5/14/2020,95.324,103.234,75.732,
We,5/13/2020,96.709,102.645,75.236,
Tu,5/12/2020,93.303,102.137,74.726,
Mo,5/11/2020,92.61,101.563,74.251,
,,,,,
Fr,5/8/2020,90.98,101.04,73.787,
Th,5/7/2020,92.169,100.512,73.355,
We,5/6/2020,93.224,99.823,72.912,
Tu,5/5/2020,90.065,99.066,72.471,
Mo,5/4/2020,90.896,98.327,72.069,
,,,,,
Fr,5/1/2020,90.4,97.44,71.662,
Th,4/30/2020,86.979,96.539,71.25,
We,4/29/2020,86.885,95.689,70.885,
Tu,4/28/2020,91.781,94.845,70.52,
Mo,4/27/2020,93.168,93.895,70.124,
,,,,,
Fr,4/24/2020,94.144,92.907,69.708,
Th,4/23/2020,93.689,91.9,69.267,
We,4/22/2020,94.481,90.923,68.826,
Tu,4/21/2020,98.063,89.939,68.373,
Mo,4/20/2020,93.474,88.9,67.892,
,,,,,
Fr,4/17/2020,86.967,87.937,67.472,
Th,4/16/2020,87.928,87.095,67.132,
We,4/15/2020,87.416,86.278,66.78,
Tu,4/14/2020,82.607,85.531,66.427,
Mo,4/13/2020,83.14,84.882,66.114,
,,,,,
Th,4/9/2020,81.849,84.17,65.795,
We,4/8/2020,104.886,83.493,65.501,
Tu,4/7/2020,112.493,82.328,64.974,
Mo,4/6/2020,116.969,81.064,64.366,
,,,,,
Fr,4/3/2020,127.55,79.666,63.71,
Th,4/2/2020,123.313,78.035,,
We,4/1/2020,126.144,76.47,,
Tu,3/31/2020,113.051,74.862,,
Mo,3/30/2020,107.875,73.482,,
,,,,,
Fr,3/27/2020,111.889,72.206,,
Th,3/26/2020,96.658,70.863,,
We,3/25/2020,103.168,69.824,,
Tu,3/24/2020,107.974,68.643,,
Mo,3/23/2020,121.563,67.367,,
,,,,,
Fr,3/20/2020,151.798,65.813,,
Th,3/19/2020,141.838,63.679,,
We,3/18/2020,140.969,61.776,,
Tu,3/17/2020,123.232,59.878,,
Mo,3/16/2020,124.226,58.33,,
,,,,,
Fr,3/13/2020,107.488,56.728,,
Th,3/12/2020,138.875,55.484,,
We,3/11/2020,117.418,53.606,,
Tu,3/10/2020,106.75,52.136,,
Mo,3/9/2020,110.94,50.881,,
,,,,,
Fr,3/6/2020,83.157,49.554,,
Th,3/5/2020,73.253,48.792,,
We,3/4/2020,65.835,48.229,,
Tu,3/3/2020,71.326,47.827,,
Mo,3/2/2020,64.6,47.315,,
,,,,,
Fr,2/28/2020,66.478,46.94,,
Th,2/27/2020,64.581,46.533,,
We,2/26/2020,57.685,46.198,,
Tu,2/25/2020,55.409,46.001,,
Mo,2/24/2020,53.071,45.876,,
,,,,,
Fr,2/21/2020,46.546,45.812,,
Th,2/20/2020,45.356,45.885,,
We,2/19/2020,44.518,45.962,,
Tu,2/18/2020,44.674,46.081,,
,,,,,
Fr,2/14/2020,44.266,46.195,,
Th,2/13/2020,43.75,46.354,,
We,2/12/2020,43.81,46.51,,
Tu,2/11/2020,44.834,46.634,,
Mo,2/10/2020,45.271,46.729,,
,,,,,
Fr,2/7/2020,46.129,46.807,,
Th,2/6/2020,45.335,46.885,,
We,2/5/2020,44.855,47.008,,
Tu,2/4/2020,47.061,47.168,,
Mo,2/3/2020,50.075,47.282,,
,,,,,
Fr,1/31/2020,50.155,47.324,,
Th,1/30/2020,47.535,47.346,,
We,1/29/2020,48.016,47.42,,
Tu,1/28/2020,46.646,47.508,,
Mo,1/27/2020,49.308,47.62,,
,,,,,
Fr,1/24/2020,47.025,47.668,,
Th,1/23/2020,46.02,47.754,,
We,1/22/2020,45.071,,,
Tu,1/21/2020,45.763,,,
,,,,,
Fr,1/17/2020,44.053,,,
Th,1/16/2020,44.054,,,
We,1/15/2020,44.715,,,
Tu,1/14/2020,44.716,,,
Mo,1/13/2020,44.133,,,
,,,,,
Fr,1/10/2020,44.195,,,
Th,1/9/2020,43.844,,,
We,1/8/2020,45.113,,,
Tu,1/7/2020,46.665,,,
Mo,1/6/2020,46.049,,,
,,,,,
Fr,1/3/2020,45.835,,,
Th,1/2/2020,44.155,,,
Tu,12/31/2019,45.266,,,
Mo,12/30/2019,44.975,,,
,,,,,
Fr,12/27/2019,43.948,,,
Th,12/26/2019,43.978,,,
Tu,12/24/2019,44.599,,,
Mo,12/23/2019,45.041,,,
,,,,,
Fr,12/20/2019,45.116,,,
Th,12/19/2019,45.708,,,
We,12/18/2019,45.773,,,
Tu,12/17/2019,45.814,,,
Mo,12/16/2019,46.135,,,
,,,,,
Fr,12/13/2019,47.86,,,
Th,12/12/2019,47.802,,,
We,12/11/2019,49.175,,,
Tu,12/10/2019,49.875,,,
Mo,12/9/2019,50.183,,,
,,,,,
Fr,12/6/2019,49.205,,,
Th,12/5/2019,50.463,,,
We,12/4/2019,50.395,,,
Tu,12/3/2019,52.192,,,
Mo,12/2/2019,51.546,,,
,,,,,
Fr,11/29/2019,50.03,,,
We,11/27/2019,49.565,,,
Tu,11/26/2019,49.19,,,
Mo,11/25/2019,50.028,,,
,,,,,
Fr,11/22/2019,51.461,,,
Th,11/21/2019,52.891,,,
We,11/20/2019,52.77,,,
Tu,11/19/2019,52.143,,,
Mo,11/18/2019,51.252,,,
,,,,,
Fr,11/15/2019,51.26,,,
Th,11/14/2019,52.421,,,
We,11/13/2019,52.221,,,
Tu,11/12/2019,51.724,,,
,,,,,
Fr,11/8/2019,51.299,,,
